Ward,Precinct,Submission Date,Comment Period End Date,Ordinance Introduction Date,Ordinance Effective Date,Scope of Restriction,Enacting Ordinance,Repeal Submission Date,Repeal Comment Period End Date,Repeal Ordinance Introduction Date,Repeal Ordinance Effective Date,Repeal Ordinance
13,16,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,8,07/07/2023,,11/07/2024,01/24/2024,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/ce67d8a4-ce65-48f0-999d-d82d50ccd694.pdf,,,,,
13,9,04/23/2018,05/23/2018,05/25/2018,06/27/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6270664&GUID=6B53E3EA-9D29-4C0E-A54D-16190CCA3661,,,,,
13,21,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,25,10/17/2019,11/17/2019,11/20/2019,12/18/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7909786&GUID=66A8B832-102B-483F-B2D8-9BA1F5043B75,,,,,
13,2,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,45,04/20/2017,05/20/2017,05/24/2017,07/26/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P45.pdf,,,,,
23,7,07/26/2023,,09/14/2023,10/04/2023,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/1048f7ee-10ae-403a-8eb1-fb4fa6ec4626.pdf,,,,,
13,36,10/17/2019,11/17/2019,11/20/2019,12/18/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7909784&GUID=9DC5028F-0649-408E-8794-A7C3CD59B0B9,,,,,
23,28,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
